auction_id;auction_name;auction_country;country_isocode;startdate;closedate;onlinedate;is_private;is_active;is_homedelivery;is_public;open_for_bidding;is_closed;sourcing_company
45863;Pleziervaartuigen FRISC 1200 open motorboot (Domeinen Roerende Zaken) Almelo;Netherlands;nl;2020-01-30;2020-02-12;;0;0;0;;0;1;bva
44954;Fitness en sportkleding;Netherlands;nl;2020-01-16;2020-01-23;;0;0;1;;0;1;bva
45231;Horeca inventaris te Leende;Netherlands;nl;2020-01-29;2020-02-13;;0;0;0;;0;1;bva
45178;Dagaanbiedingen maandagavond;Netherlands;nl;2020-01-12;2020-01-13;;0;0;1;;0;1;3rdpartydailyspecials
45737;Partij bureaus o.a. Aspa, Rohde en Grahl (Domeinen Roerende Zaken)  Eindhoven;Netherlands;nl;2020-01-24;2020-01-27;;0;0;0;;0;1;bva
45234;PVC en laminaatvloeren te Utrecht;Netherlands;nl;2020-01-23;2020-01-30;;0;0;0;;0;1;bva
45262;(Bezorgveiling) Dagaanbiedingen vrijdagmiddag (wk04) (Daily Specials);Netherlands;nl;2020-01-23;2020-01-24;;0;0;1;;0;1;3rdpartydailyspecials
45909;The daily vintage market (fri);Netherlands;nl;2020-02-14;2020-02-21;;0;0;1;;0;1;art
45852;Dagaanbiedingen dinsdagmiddag;Netherlands;nl;2020-02-17;2020-02-18;;0;0;1;;0;1;3rdpartydailyspecials
45068;Wellness & lounge meubilair;Netherlands;nl;2020-02-13;2020-02-19;;0;0;1;;0;1;bva
45129;BVA Top Lots - Retourgoederen van o.a. Asus, HP, Sony & Nokia;Netherlands;nl;2020-01-24;2020-01-29;;0;0;1;;0;1;bva
44367;Sanitair & Installatietechniek te Ede (Romarco B.V));Netherlands;nl;2019-12-24;2020-01-02;;0;0;0;;0;1;bva
44963;Executieveiling drukkerijmachines, tapijtstikrobot en overige machines te Uden;Netherlands;nl;2019-12-27;2020-01-06;;0;0;0;;0;1;bva
44192;Elektronica en gadgets;Netherlands;nl;2020-01-14;2020-01-21;;0;0;1;;0;1;bva
43287;GEANNULEERD -       Nieuwegein, Arresleedrift  8;Netherlands;nl;2020-02-11;2020-02-11;;0;0;0;;0;1;nvv
44903;Faillissementsveiling IT goederen te Amersfoort;Netherlands;nl;2019-12-23;2020-01-06;;0;0;0;;0;1;bva
46055;Zeldzame postzegelcollecties;Netherlands;nl;2020-02-22;2020-03-01;;0;0;1;;0;1;art
44896;Moderne banken en stoelen te Beusichem;Netherlands;nl;2019-12-23;2020-01-09;;0;0;0;;0;1;bva
45396;Wijnen te Amersfoort;Netherlands;nl;2020-01-22;2020-01-29;;0;0;0;;0;1;art
45747;Woonmeubilair te 's-Heerenberg;Netherlands;nl;2020-02-21;2020-03-01;;0;0;0;;0;1;bva
45655;Medische Defensiegoederen (Domeinen Roerende Zaken) te Amersfoort;Netherlands;nl;2020-01-27;2020-02-03;;0;0;0;;0;1;bva
45974;Voorraden installatiebedrijf te Wijchen;Netherlands;nl;2020-02-06;2020-02-17;;0;0;0;;0;1;bva
44894;Exclusieve eiken parketvloeren te Utrecht;Netherlands;nl;2020-01-09;2020-01-16;;0;0;0;;0;1;bva
45431;Magazijn, Horeca- en consumentengoederen (Domeinen Roerende Zaken) Deventer;Netherlands;nl;2020-01-13;2020-01-28;;0;0;0;;0;1;bva
45447;Machines, gereedschappen, magazijninrichting, heftrucks, hoogwerkers en consumentenartikelen te Overloon (Nexttrade);Netherlands;nl;2020-01-23;2020-02-04;;0;0;0;;0;1;bva
44482;GEANNULEERD -       Julianadorp, Residence Juliana 12;Netherlands;nl;2020-01-30;2020-01-30;;0;1;0;;0;1;nvv
45128;BVA Top Lots - Retourgoederen van o.a. SMEG, Brother, Samsung & Apple;Netherlands;nl;2020-01-24;2020-01-28;;0;0;1;;0;1;bva
45857;Dagaanbiedingen zaterdagavond;Netherlands;nl;2020-02-21;2020-02-22;;0;0;1;;0;1;3rdpartydailyspecials
46197;Mercedes G-klasse te Ammerzoden;Netherlands;nl;2020-02-18;2020-02-26;;0;0;0;;0;1;bva
46006;Dagaanbiedingen dinsdagmiddag;Netherlands;nl;2020-02-24;2020-02-25;;0;0;1;;0;1;3rdpartydailyspecials
44772;K BU5 - VCC;Netherlands;nl;2020-01-02;2020-01-09;;0;1;1;;0;1;art
45038;E-bikes en partijen van o.a. Giant, Sparta & Union te Budel;Netherlands;nl;2019-12-31;2020-01-07;;0;0;0;;0;1;bva
45785;The daily vintage market (thu);Netherlands;nl;2020-02-06;2020-02-13;;0;0;1;;0;1;art
44153;Sportkleding en accessoires met o.a. Nike, Adidas en Asics;Netherlands;nl;2020-01-07;2020-01-12;;0;0;1;;0;1;bva
44848;Rustic land Las talegas y La Chullera in San Roque, Cádiz (Spain);Netherlands;nl;2020-01-24;2020-02-25;;0;0;0;;0;1;bva
45158;Bentley Mulsanne Mulliner (1 v/d 22, wereldwijd) te Boxmeer (Hermans & Hermans);Netherlands;nl;2019-12-23;2020-01-06;;0;0;0;;0;1;bva
45616;Used Jewels and Watches;Netherlands;nl;2020-02-18;2020-02-25;;0;0;1;;0;1;art
45833;Horeca te Cafe-Zaal Dwars in Geldrop;Netherlands;nl;2020-02-14;2020-02-27;;0;0;0;;0;1;bva
46017;Winkelinventaris te Varsseveld;Netherlands;nl;2020-02-10;2020-02-24;;0;0;0;;0;1;bva
45416;Horeca inventaris te Nijmegen;Netherlands;nl;2020-01-18;2020-01-23;;0;0;0;;0;1;bva
45964;Silverware and Jewellery;Netherlands;nl;2020-02-12;2020-02-20;;0;0;1;;0;1;art
45354;Faillissement Kraamzorg Mijnbaby te Rotterdam;Netherlands;nl;2020-01-13;2020-01-20;;0;0;0;;0;1;bva
45366;Zwanenburg, Troelstralaan  17;Netherlands;nl;2020-02-10;2020-02-10;;0;0;0;;0;1;bog
