AUCTIONID,AUCTIONSTARTDATE,AUCTIONENDDATE,LOTMINSTARTDATE,LOTMAXSTARTDATE,LOTMINENDDATE,LOTMAXENDDATE,BIDRANGENAME
45193,03-02-2020 05:00:00,10-02-2020 06:15:00,03-02-2020 05:00:00,03-02-2020 05:00:00,10-02-2020 06:15:00,10-02-2020 11:38:00,de Standard en Standard nl Standaard biedranges
45261,22-01-2020 02:00:00,23-01-2020 11:00:00,22-01-2020 02:00:00,22-01-2020 02:00:00,23-01-2020 11:00:00,23-01-2020 05:17:00,nl 1 Euro stappen
45276,10-01-2020 12:00:00,18-01-2020 07:00:00,10-01-2020 12:00:00,10-01-2020 12:00:00,18-01-2020 07:03:00,18-01-2020 10:01:00,de Standard en Standard nl Standaard biedranges
45281,30-01-2020 12:00:00,07-02-2020 12:15:00,30-01-2020 12:00:00,30-01-2020 12:00:00,07-02-2020 12:56:00,07-02-2020 03:32:00,de Standard en Standard nl Standaard biedranges
45309,27-01-2020 02:00:00,28-01-2020 11:00:00,27-01-2020 02:00:00,27-01-2020 02:00:00,28-01-2020 11:00:00,28-01-2020 05:11:00,nl 1 Euro stappen
45312,30-01-2020 02:00:00,31-01-2020 11:00:00,30-01-2020 02:00:00,30-01-2020 02:00:00,31-01-2020 11:01:00,31-01-2020 05:14:00,nl 1 Euro stappen
45342,14-01-2020 05:00:00,18-01-2020 05:00:00,14-01-2020 05:00:00,14-01-2020 05:00:00,19-01-2020 04:01:00,19-01-2020 07:26:00,nl Biedrange 0-15 1 euro (Beuknoot)
45364,19-02-2020 11:00:00,19-02-2020 01:15:00,19-02-2020 11:00:00,19-02-2020 11:00:00,19-02-2020 11:45:00,19-02-2020 11:45:00,nl Per 1000 ophogen
45369,19-02-2020 09:30:00,19-02-2020 09:45:00,19-02-2020 09:30:00,19-02-2020 09:30:00,19-02-2020 09:45:00,19-02-2020 09:45:00,nl Per 1000 ophogen
45378,11-01-2020 12:00:00,17-01-2020 07:00:00,11-01-2020 12:00:00,11-01-2020 12:00:00,17-01-2020 07:00:00,17-01-2020 10:08:00,de Standard en Standard nl Standaard biedranges
45379,16-01-2020 12:00:00,24-01-2020 12:00:00,16-01-2020 12:00:00,16-01-2020 12:00:00,24-01-2020 12:03:00,24-01-2020 02:23:00,de Standard en Standard nl Standaard biedranges
45385,29-01-2020 05:00:00,04-02-2020 01:00:00,29-01-2020 05:00:00,29-01-2020 05:00:00,04-02-2020 01:01:00,04-02-2020 02:05:00,de Standard en Standard nl Standaard biedranges
45389,17-01-2020 12:00:00,26-01-2020 07:30:00,17-01-2020 12:00:00,17-01-2020 12:00:00,26-01-2020 07:30:00,26-01-2020 08:45:00,de Standard en Standard nl Standaard biedranges
45400,10-02-2020 05:00:00,18-02-2020 07:01:00,10-02-2020 05:00:00,10-02-2020 05:00:00,18-02-2020 08:16:00,18-02-2020 09:08:00,de Standard en Standard nl Standaard biedranges
45459,18-01-2020 12:00:00,26-01-2020 10:30:00,18-01-2020 12:00:00,18-01-2020 12:00:00,26-01-2020 10:30:00,26-01-2020 11:18:00,de Standard en Standard nl Standaard biedranges
45460,14-02-2020 05:00:00,26-02-2020 06:30:00,14-02-2020 05:00:00,14-02-2020 05:00:00,26-02-2020 06:31:00,26-02-2020 10:00:00,de Standard en Standard nl Standaard biedranges
45464,04-02-2020 11:00:00,05-02-2020 09:01:00,04-02-2020 11:00:00,04-02-2020 11:00:00,05-02-2020 09:01:00,05-02-2020 11:53:00,nl 1 Euro stappen
45521,20-01-2020 05:00:00,30-01-2020 06:00:00,20-01-2020 05:00:00,30-01-2020 07:47:00,30-01-2020 06:00:00,30-01-2020 08:02:00,de Standard en Standard nl Standaard biedranges
45539,18-02-2020 05:00:00,23-02-2020 07:30:00,18-02-2020 05:00:00,18-02-2020 05:00:00,23-02-2020 07:30:00,24-02-2020 12:48:00,de Standard en Standard nl Standaard biedranges
45551,27-01-2020 05:00:00,03-02-2020 06:01:00,27-01-2020 05:00:00,27-01-2020 05:00:00,03-02-2020 06:30:00,03-02-2020 07:33:00,de Standard en Standard nl Standaard biedranges
45574,22-01-2020 05:00:00,30-01-2020 07:00:00,22-01-2020 05:00:00,22-01-2020 05:00:00,30-01-2020 07:00:00,31-01-2020 12:38:00,de Standard en Standard nl Standaard biedranges
45606,08-02-2020 05:00:00,13-02-2020 08:15:00,08-02-2020 05:00:00,08-02-2020 05:00:00,13-02-2020 08:15:00,13-02-2020 09:41:00,nl Top Lots
45625,19-02-2020 05:00:00,27-02-2020 08:30:00,19-02-2020 05:00:00,19-02-2020 05:00:00,27-02-2020 08:30:00,27-02-2020 09:16:00,de Standard en Standard nl Standaard biedranges
45629,10-02-2020 05:00:00,19-02-2020 07:00:00,10-02-2020 05:00:00,19-02-2020 08:00:00,19-02-2020 07:07:00,19-02-2020 08:25:00,de Standard en Standard nl Standaard biedranges
45642,10-02-2020 05:00:00,20-02-2020 07:30:00,10-02-2020 05:00:00,10-02-2020 05:00:00,20-02-2020 07:00:00,20-02-2020 09:59:00,de Standard en Standard nl Standaard biedranges
45659,11-02-2020 11:00:00,12-02-2020 09:01:00,11-02-2020 11:00:00,11-02-2020 11:00:00,12-02-2020 09:01:00,12-02-2020 11:49:00,nl 1 Euro stappen
45689,28-01-2020 05:00:00,10-02-2020 06:00:00,28-01-2020 05:00:00,28-01-2020 05:00:00,10-02-2020 06:00:00,10-02-2020 08:32:00,de Standard en Standard nl Standaard biedranges
45708,21-02-2020 12:00:00,28-02-2020 12:00:00,21-02-2020 12:00:00,21-02-2020 12:00:00,28-02-2020 12:00:00,28-02-2020 02:57:00,de Standard en Standard nl Standaard biedranges
