AUCTIONID,AUCTIONSTARTDATE,AUCTIONENDDATE,LOTMINSTARTDATE,LOTMAXSTARTDATE,LOTMINENDDATE,LOTMAXENDDATE,BIDRANGENAME
44839,25-12-2019 05:00:00,07-01-2020 06:00:00,25-12-2019 05:00:00,25-12-2019 05:00:00,07-01-2020 06:01:00,08-01-2020 01:03:00,de Standard en Standard nl Standaard biedranges
44843,18-12-2019 05:00:00,02-01-2020 06:00:00,18-12-2019 05:00:00,18-12-2019 05:00:00,02-01-2020 06:00:00,02-01-2020 07:29:00,de Standard en Standard nl Standaard biedranges
44850,24-01-2020 10:00:00,25-02-2020 10:00:00,24-01-2020 10:00:00,24-01-2020 10:00:00,25-02-2020 10:00:00,25-02-2020 10:00:00,nl Vastgoed Standaard biedranges
44866,15-01-2020 11:00:00,15-01-2020 01:15:00,15-01-2020 11:00:00,15-01-2020 11:00:00,15-01-2020 01:39:00,15-01-2020 01:39:00,nl Per 1000 ophogen
44871,31-12-2019 11:00:00,01-01-2020 09:01:00,31-12-2019 11:00:00,31-12-2019 11:00:00,01-01-2020 09:01:00,01-01-2020 11:58:00,nl 1 Euro stappen
44878,02-01-2020 02:00:00,03-01-2020 11:00:00,02-01-2020 02:00:00,02-01-2020 02:00:00,03-01-2020 11:00:00,03-01-2020 05:21:00,nl 1 Euro stappen
44880,03-01-2020 11:00:00,04-01-2020 06:00:00,03-01-2020 11:00:00,03-01-2020 11:00:00,04-01-2020 06:00:00,05-01-2020 12:25:00,nl 1 Euro stappen
44935,25-12-2019 09:00:00,13-01-2020 06:15:00,25-12-2019 09:00:00,25-12-2019 09:00:00,13-01-2020 06:15:00,13-01-2020 06:43:00,de Standard en Standard nl Standaard biedranges
44956,30-01-2020 05:00:00,06-02-2020 06:00:00,30-01-2020 05:00:00,30-01-2020 05:00:00,06-02-2020 06:00:00,06-02-2020 07:34:00,de Standard en Standard nl Standaard biedranges
45009,22-01-2020 05:00:00,26-01-2020 04:00:00,22-01-2020 05:00:00,22-01-2020 05:00:00,26-01-2020 04:00:00,26-01-2020 08:54:00,de Standard en Standard nl Standaard biedranges
45067,06-02-2020 05:00:00,12-02-2020 07:30:00,06-02-2020 05:00:00,06-02-2020 05:00:00,12-02-2020 07:01:00,12-02-2020 09:29:00,de Standard en Standard nl Standaard biedranges
45073,30-12-2019 05:00:00,09-01-2020 06:00:00,30-12-2019 05:00:00,30-12-2019 05:00:00,09-01-2020 06:00:00,09-01-2020 11:19:00,de Standard en Standard nl Standaard biedranges
45116,10-01-2020 05:00:00,15-01-2020 08:15:00,10-01-2020 05:00:00,10-01-2020 05:00:00,15-01-2020 08:15:00,15-01-2020 10:37:00,nl Top Lots
45119,16-01-2020 05:00:00,20-01-2020 08:00:00,16-01-2020 05:00:00,16-01-2020 05:00:00,20-01-2020 08:00:00,20-01-2020 09:12:00,nl Top Lots
45126,20-01-2020 05:00:00,04-02-2020 06:00:00,20-01-2020 05:00:00,20-01-2020 05:00:00,04-02-2020 06:00:00,05-02-2020 12:36:00,de Standard en Standard nl Standaard biedranges
45127,23-01-2020 05:00:00,27-01-2020 08:15:00,23-01-2020 05:00:00,23-01-2020 05:00:00,27-01-2020 08:15:00,27-01-2020 09:40:00,nl Top Lots
45135,01-02-2020 12:00:00,08-02-2020 07:32:00,01-02-2020 12:00:00,01-02-2020 12:00:00,08-02-2020 07:31:00,08-02-2020 10:31:00,de Standard en Standard nl Standaard biedranges
45137,31-01-2020 05:00:00,04-02-2020 08:15:00,31-01-2020 05:00:00,31-01-2020 05:00:00,04-02-2020 08:15:00,04-02-2020 09:47:00,nl Top Lots
45162,10-01-2020 12:00:00,17-01-2020 11:15:00,10-01-2020 12:00:00,10-01-2020 12:00:00,17-01-2020 11:16:00,17-01-2020 01:42:00,de Standard en Standard nl Standaard biedranges
45183,12-01-2020 02:00:00,13-01-2020 11:00:00,12-01-2020 02:00:00,12-01-2020 02:00:00,13-01-2020 11:03:00,13-01-2020 05:40:00,nl 1 Euro stappen
45188,17-01-2020 06:00:00,18-01-2020 10:00:00,17-01-2020 06:00:00,17-01-2020 06:00:00,18-01-2020 10:02:00,18-01-2020 06:12:00,nl 1 Euro stappen
45217,27-01-2020 05:00:00,06-02-2020 07:45:00,27-01-2020 05:00:00,27-01-2020 05:00:00,06-02-2020 07:00:00,06-02-2020 10:09:00,de Standard en Standard nl Standaard biedranges
45250,24-01-2020 05:00:00,05-02-2020 06:45:00,24-01-2020 05:00:00,24-01-2020 05:00:00,05-02-2020 06:01:00,05-02-2020 09:15:00,de Standard en Standard nl Standaard biedranges
45252,21-01-2020 05:00:00,29-01-2020 07:15:00,21-01-2020 05:00:00,21-01-2020 05:00:00,29-01-2020 07:15:00,30-01-2020 03:27:00,de Standard en Standard nl Standaard biedranges
45259,20-01-2020 02:00:00,21-01-2020 11:00:00,20-01-2020 02:00:00,20-01-2020 02:00:00,21-01-2020 11:00:00,21-01-2020 05:19:00,nl 1 Euro stappen
45266,25-01-2020 11:00:00,26-01-2020 06:00:00,25-01-2020 11:00:00,25-01-2020 11:00:00,26-01-2020 06:00:00,27-01-2020 12:15:00,nl 1 Euro stappen
45282,31-01-2020 12:00:00,08-02-2020 07:00:00,31-01-2020 12:00:00,31-01-2020 12:00:00,08-02-2020 07:04:00,08-02-2020 08:19:00,de Standard en Standard nl Standaard biedranges
45284,17-01-2020 05:00:00,23-01-2020 06:30:00,17-01-2020 05:00:00,17-01-2020 05:00:00,23-01-2020 06:32:00,23-01-2020 08:55:00,de Standard en Standard nl Standaard biedranges
45304,27-01-2020 11:00:00,28-01-2020 06:30:00,27-01-2020 11:00:00,27-01-2020 11:00:00,28-01-2020 06:30:00,28-01-2020 09:42:00,nl 1 Euro stappen
45319,22-01-2020 05:00:00,29-01-2020 08:15:00,22-01-2020 05:00:00,22-01-2020 05:00:00,29-01-2020 08:15:00,30-01-2020 12:08:00,de Standard en Standard nl Standaard biedranges
45348,28-01-2020 05:00:00,02-02-2020 04:15:00,28-01-2020 05:00:00,28-01-2020 05:00:00,02-02-2020 04:01:00,02-02-2020 10:16:00,nl Biedrange 0-15 1 euro (Beuknoot)
45371,19-02-2020 11:30:00,19-02-2020 01:45:00,19-02-2020 11:30:00,19-02-2020 11:30:00,19-02-2020 12:17:00,19-02-2020 12:17:00,nl Per 1000 ophogen
45382,26-01-2020 12:00:00,02-02-2020 07:45:00,26-01-2020 12:00:00,26-01-2020 12:00:00,02-02-2020 07:45:00,02-02-2020 09:08:00,de Standard en Standard nl Standaard biedranges
45390,14-01-2020 05:01:00,25-01-2020 05:00:00,14-01-2020 05:01:00,14-01-2020 05:01:00,25-01-2020 05:00:00,25-01-2020 06:48:00,de Standard en Standard nl Standaard biedranges
45407,20-01-2020 05:00:00,30-01-2020 07:15:00,20-01-2020 05:00:00,20-01-2020 05:00:00,30-01-2020 07:15:00,30-01-2020 09:02:00,de Standard en Standard nl Standaard biedranges
45421,07-02-2020 05:00:00,13-02-2020 07:30:00,07-02-2020 05:00:00,07-02-2020 05:00:00,13-02-2020 07:01:00,13-02-2020 09:03:00,de Standard en Standard nl Standaard biedranges
45427,03-02-2020 05:00:00,19-02-2020 04:00:00,03-02-2020 05:00:00,19-02-2020 07:56:00,19-02-2020 04:14:00,19-02-2020 08:16:00,de Standard en Standard nl Standaard biedranges
45432,20-01-2020 05:00:00,03-02-2020 08:45:00,20-01-2020 05:00:00,20-01-2020 05:00:00,03-02-2020 08:30:00,03-02-2020 09:57:00,nl Bva-Automotive
45471,06-02-2020 02:00:00,07-02-2020 11:00:00,06-02-2020 02:00:00,06-02-2020 02:00:00,07-02-2020 11:00:00,07-02-2020 05:31:00,nl 1 Euro stappen
45486,18-01-2020 05:00:00,30-01-2020 06:00:00,18-01-2020 05:00:00,18-01-2020 05:00:00,30-01-2020 06:00:00,30-01-2020 07:13:00,de Standard en Standard nl Standaard biedranges
45489,25-01-2020 05:01:00,02-02-2020 06:00:00,25-01-2020 05:01:00,25-01-2020 05:01:00,02-02-2020 06:00:00,02-02-2020 07:28:00,de Standard en Standard nl Standaard biedranges
45663,11-02-2020 02:00:00,12-02-2020 11:00:00,11-02-2020 02:00:00,11-02-2020 02:00:00,12-02-2020 11:00:00,12-02-2020 05:48:00,nl 1 Euro stappen
45666,14-02-2020 06:00:00,15-02-2020 10:00:00,14-02-2020 06:00:00,14-02-2020 06:00:00,15-02-2020 10:00:00,15-02-2020 06:22:00,nl 1 Euro stappen
45738,20-02-2020 05:01:00,27-02-2020 07:30:00,20-02-2020 05:01:00,20-02-2020 05:01:00,27-02-2020 07:01:00,27-02-2020 09:30:00,de Standard en Standard nl Standaard biedranges
45787,17-02-2020 09:00:00,26-02-2020 07:15:00,17-02-2020 09:00:00,17-02-2020 09:00:00,26-02-2020 07:24:00,26-02-2020 08:42:00,de Standard en Standard nl Standaard biedranges
45796,28-01-2020 09:00:00,04-02-2020 07:30:00,28-01-2020 09:00:00,28-01-2020 09:00:00,04-02-2020 07:30:00,04-02-2020 07:45:00,nl Bva-Automotive
45841,08-02-2020 05:01:00,19-02-2020 06:45:00,08-02-2020 05:01:00,08-02-2020 05:01:00,19-02-2020 06:45:00,19-02-2020 08:14:00,de Standard en Standard nl Standaard biedranges
45917,22-02-2020 12:00:00,29-02-2020 11:00:00,22-02-2020 12:00:00,22-02-2020 12:00:00,29-02-2020 11:00:00,29-02-2020 02:08:00,de Standard en Standard nl Standaard biedranges
45953,07-02-2020 12:00:00,18-02-2020 01:00:00,07-02-2020 12:00:00,07-02-2020 12:00:00,18-02-2020 01:03:00,18-02-2020 01:25:00,de Standard en Standard nl Standaard biedranges
46000,23-02-2020 11:00:00,24-02-2020 09:01:00,23-02-2020 11:00:00,23-02-2020 11:00:00,24-02-2020 09:01:00,24-02-2020 11:49:00,nl 1 Euro stappen
46008,26-02-2020 02:00:00,27-02-2020 11:00:00,26-02-2020 02:00:00,26-02-2020 02:00:00,27-02-2020 11:04:00,27-02-2020 05:15:00,nl 1 Euro stappen
46016,10-02-2020 05:01:00,19-02-2020 06:00:00,10-02-2020 05:01:00,10-02-2020 05:01:00,19-02-2020 06:00:00,19-02-2020 08:51:00,de Standard en Standard nl Standaard biedranges
46077,07-02-2020 12:00:00,17-02-2020 11:01:00,07-02-2020 12:00:00,07-02-2020 12:00:00,17-02-2020 11:15:00,17-02-2020 12:26:00,de Standard en Standard nl Standaard biedranges
46116,10-02-2020 05:00:00,17-02-2020 12:00:00,10-02-2020 05:00:00,10-02-2020 05:00:00,17-02-2020 12:00:00,17-02-2020 02:37:00,de Standard en Standard nl Standaard biedranges
46188,15-02-2020 05:01:00,25-02-2020 06:30:00,15-02-2020 05:01:00,15-02-2020 05:01:00,25-02-2020 06:30:00,25-02-2020 09:13:00,de Standard en Standard nl Standaard biedranges
43502,11-02-2020 11:00:00,11-02-2020 11:15:00,11-02-2020 11:00:00,11-02-2020 11:00:00,11-02-2020 11:15:00,11-02-2020 11:15:00,nl Per 1000 ophogen
43708,28-01-2020 01:00:00,28-01-2020 03:15:00,28-01-2020 01:00:00,28-01-2020 01:00:00,28-01-2020 01:25:00,28-01-2020 01:25:00,nl Vastgoed Standaard biedranges
43946,11-02-2020 12:30:00,11-02-2020 12:30:00,11-02-2020 12:30:00,11-02-2020 12:30:00,11-02-2020 12:30:00,11-02-2020 12:30:00,nl Per 1000 ophogen
43951,24-01-2020 10:00:00,24-01-2020 12:15:00,24-01-2020 10:00:00,24-01-2020 10:00:00,24-01-2020 10:35:00,24-01-2020 10:35:00,nl Per 1000 ophogen
44035,15-01-2020 05:00:00,22-01-2020 04:00:00,15-01-2020 05:00:00,15-01-2020 05:00:00,22-01-2020 04:01:00,22-01-2020 07:57:00,de Standard en Standard nl Standaard biedranges
44176,07-01-2020 05:00:00,11-01-2020 04:00:00,07-01-2020 05:00:00,07-01-2020 05:00:00,11-01-2020 04:00:00,12-01-2020 02:25:00,nl Biedrange 0-15 1 euro (Beuknoot)
44439,07-01-2020 05:00:00,21-01-2020 06:00:00,07-01-2020 05:00:00,07-01-2020 05:00:00,21-01-2020 06:00:00,21-01-2020 08:44:00,de Standard en Standard nl Standaard biedranges
44586,09-12-2019 05:00:00,06-01-2020 06:00:00,09-12-2019 05:00:00,06-01-2020 07:29:00,06-01-2020 06:00:00,06-01-2020 07:44:00,de Standard en Standard nl Standaard biedranges
44827,25-12-2019 05:00:00,07-01-2020 06:45:00,25-12-2019 05:00:00,25-12-2019 05:00:00,07-01-2020 06:45:00,07-01-2020 07:56:00,de Standard en Standard nl Standaard biedranges
44865,15-01-2020 09:30:00,15-01-2020 09:45:00,15-01-2020 09:30:00,15-01-2020 09:30:00,15-01-2020 09:45:00,15-01-2020 09:45:00,nl Per 1000 ophogen
44895,09-01-2020 05:00:00,16-01-2020 06:30:00,09-01-2020 05:00:00,09-01-2020 05:00:00,16-01-2020 06:30:00,16-01-2020 09:25:00,de Standard en Standard nl Standaard biedranges
44923,25-12-2019 05:00:00,06-01-2020 07:45:00,25-12-2019 05:00:00,25-12-2019 05:00:00,06-01-2020 07:45:00,07-01-2020 01:33:00,de Standard en Standard nl Standaard biedranges
44958,06-02-2020 02:00:00,06-02-2020 04:15:00,06-02-2020 02:00:00,06-02-2020 02:00:00,06-02-2020 02:49:00,06-02-2020 02:49:00,nl Per 1000 ophogen
44959,23-12-2019 05:00:00,13-01-2020 05:45:00,23-12-2019 05:00:00,13-01-2020 07:24:00,13-01-2020 05:48:00,13-01-2020 07:39:00,de Standard en Standard nl Standaard biedranges
44975,05-01-2020 11:00:00,06-01-2020 09:01:00,05-01-2020 11:00:00,05-01-2020 11:00:00,06-01-2020 09:00:00,06-01-2020 11:51:00,nl 1 Euro stappen
45005,23-12-2019 05:00:00,03-01-2020 04:00:00,23-12-2019 05:00:00,23-12-2019 05:00:00,03-01-2020 04:00:00,03-01-2020 05:16:00,de Standard en Standard nl Standaard biedranges
45010,30-01-2020 05:00:00,02-02-2020 03:45:00,30-01-2020 05:00:00,30-01-2020 05:00:00,02-02-2020 03:45:00,02-02-2020 10:48:00,de Standard en Standard nl Standaard biedranges
45081,30-01-2020 03:00:00,30-01-2020 03:15:00,30-01-2020 03:00:00,30-01-2020 03:00:00,30-01-2020 03:15:00,30-01-2020 03:15:00,nl Vastgoed Standaard biedranges
45094,18-01-2020 05:00:00,28-01-2020 06:45:00,18-01-2020 05:00:00,28-01-2020 08:07:00,28-01-2020 06:45:00,28-01-2020 08:37:00,de Standard en Standard nl Standaard biedranges
45114,09-01-2020 05:00:00,13-01-2020 07:15:00,09-01-2020 05:00:00,09-01-2020 05:00:00,13-01-2020 07:17:00,13-01-2020 09:16:00,nl Top Lots
45131,29-01-2020 05:00:00,02-02-2020 08:00:00,29-01-2020 05:00:00,29-01-2020 05:00:00,02-02-2020 08:01:00,02-02-2020 09:39:00,nl Top Lots
45139,06-01-2020 05:00:00,14-01-2020 06:15:00,06-01-2020 05:00:00,06-01-2020 05:00:00,14-01-2020 06:15:00,14-01-2020 07:03:00,de Standard en Standard nl Standaard biedranges
45149,31-12-2019 05:00:00,14-01-2020 06:00:00,31-12-2019 05:00:00,31-12-2019 05:00:00,14-01-2020 06:01:00,14-01-2020 07:00:00,de Standard en Standard nl Standaard biedranges
45152,04-01-2020 12:00:00,14-01-2020 07:01:00,04-01-2020 12:00:00,04-01-2020 12:00:00,14-01-2020 07:00:00,14-01-2020 07:41:00,de Standard en Standard nl Standaard biedranges
45156,05-01-2020 12:00:00,12-01-2020 05:30:00,05-01-2020 12:00:00,05-01-2020 12:00:00,12-01-2020 05:31:00,12-01-2020 07:47:00,de Standard en Standard nl Standaard biedranges
45172,20-01-2020 12:00:00,27-01-2020 02:00:00,20-01-2020 12:00:00,20-01-2020 12:00:00,27-01-2020 02:00:00,27-01-2020 02:50:00,de ART en ART fr ART nl Art & Antiques
45174,22-01-2020 12:00:00,29-01-2020 07:00:00,22-01-2020 12:00:00,22-01-2020 12:00:00,29-01-2020 07:02:00,29-01-2020 09:06:00,de ART en ART fr ART nl Art & Antiques
45182,16-01-2020 11:00:00,17-01-2020 09:01:00,16-01-2020 11:00:00,16-01-2020 11:00:00,17-01-2020 09:00:00,17-01-2020 11:52:00,nl 1 Euro stappen
45205,21-01-2020 05:00:00,03-02-2020 06:15:00,21-01-2020 05:00:00,21-01-2020 05:00:00,03-02-2020 06:15:00,03-02-2020 10:48:00,de Standard en Standard nl Standaard biedranges
45235,06-02-2020 05:00:00,13-02-2020 07:15:00,06-02-2020 05:00:00,06-02-2020 05:00:00,13-02-2020 07:35:00,13-02-2020 10:05:00,de Standard en Standard nl Standaard biedranges
45253,19-01-2020 11:00:00,20-01-2020 09:00:00,19-01-2020 11:00:00,19-01-2020 11:00:00,20-01-2020 09:01:00,21-01-2020 12:05:00,nl 1 Euro stappen
45332,28-01-2020 05:00:00,01-02-2020 04:15:00,28-01-2020 05:00:00,28-01-2020 05:00:00,01-02-2020 04:15:00,01-02-2020 09:09:00,nl 1 Euro stappen
45381,24-01-2020 12:00:00,31-01-2020 07:30:00,24-01-2020 12:00:00,24-01-2020 12:00:00,31-01-2020 07:32:00,31-01-2020 08:58:00,de Standard en Standard nl Standaard biedranges
45430,13-01-2020 05:00:00,28-01-2020 07:00:00,13-01-2020 05:00:00,13-01-2020 05:00:00,28-01-2020 07:05:00,28-01-2020 07:05:00,de Standard en Standard nl Standaard biedranges
45433,16-01-2020 12:00:00,21-01-2020 04:15:00,16-01-2020 12:00:00,16-01-2020 12:00:00,21-01-2020 04:00:00,21-01-2020 07:08:00,de Standard en Standard nl Standaard biedranges
45441,13-01-2020 05:00:00,20-01-2020 07:01:00,13-01-2020 05:00:00,13-01-2020 05:00:00,20-01-2020 07:01:00,20-01-2020 08:31:00,de Standard en Standard nl Standaard biedranges
45469,04-02-2020 02:00:00,05-02-2020 11:00:00,04-02-2020 02:00:00,04-02-2020 02:00:00,05-02-2020 11:01:00,05-02-2020 05:17:00,nl 1 Euro stappen
45472,07-02-2020 06:01:00,08-02-2020 10:00:00,07-02-2020 06:01:00,07-02-2020 06:01:00,08-02-2020 10:00:00,08-02-2020 06:34:00,nl 1 Euro stappen
45479,22-01-2020 05:00:00,28-01-2020 08:15:00,22-01-2020 05:00:00,22-01-2020 05:00:00,28-01-2020 08:00:00,29-01-2020 12:23:00,de Standard en Standard nl Standaard biedranges
45491,22-02-2020 05:01:00,01-03-2020 06:00:00,22-02-2020 05:01:00,22-02-2020 05:01:00,01-03-2020 06:00:00,01-03-2020 08:48:00,de Standard en Standard nl Standaard biedranges
45517,27-01-2020 12:00:00,02-02-2020 07:00:00,27-01-2020 12:00:00,27-01-2020 12:00:00,02-02-2020 07:00:00,02-02-2020 10:14:00,de Standard en Standard nl Standaard biedranges
45600,23-01-2020 05:00:00,01-02-2020 07:00:00,23-01-2020 05:00:00,23-01-2020 05:00:00,01-02-2020 07:02:00,01-02-2020 08:46:00,de Standard en Standard nl Standaard biedranges
45638,10-02-2020 05:00:00,20-02-2020 07:00:00,10-02-2020 05:00:00,10-02-2020 05:00:00,20-02-2020 07:01:00,20-02-2020 08:57:00,de Standard en Standard nl Standaard biedranges
45652,29-01-2020 05:00:00,05-02-2020 08:00:00,29-01-2020 05:00:00,29-01-2020 05:00:00,05-02-2020 08:00:00,05-02-2020 08:55:00,nl BVA-Automotive - 50/100
45722,22-02-2020 05:01:00,01-03-2020 06:15:00,22-02-2020 05:01:00,22-02-2020 05:01:00,01-03-2020 06:01:00,01-03-2020 07:46:00,de Standard en Standard nl Standaard biedranges
45746,07-02-2020 05:00:00,16-02-2020 08:00:00,07-02-2020 05:00:00,07-02-2020 05:00:00,16-02-2020 08:02:00,16-02-2020 10:02:00,de Standard en Standard nl Standaard biedranges
45794,27-01-2020 05:00:00,20-02-2020 04:00:00,27-01-2020 05:00:00,27-01-2020 05:00:00,20-02-2020 04:09:00,20-02-2020 04:29:00,de Standard en Standard nl Standaard biedranges
45803,15-02-2020 05:01:00,20-02-2020 08:15:00,15-02-2020 05:01:00,15-02-2020 05:01:00,20-02-2020 08:15:00,20-02-2020 09:23:00,nl Top Lots
45804,19-02-2020 05:01:00,23-02-2020 08:00:00,19-02-2020 05:01:00,19-02-2020 05:01:00,23-02-2020 08:01:00,23-02-2020 10:09:00,nl Top Lots
45815,10-02-2020 05:00:00,24-02-2020 06:30:00,10-02-2020 05:00:00,10-02-2020 05:00:00,24-02-2020 06:30:00,24-02-2020 07:38:00,de Standard en Standard nl Standaard biedranges
45938,07-02-2020 12:00:00,16-02-2020 07:15:00,07-02-2020 12:00:00,07-02-2020 12:00:00,16-02-2020 07:15:00,16-02-2020 08:52:00,de Standard en Standard nl Standaard biedranges
45950,10-02-2020 05:00:00,19-02-2020 03:00:00,10-02-2020 05:00:00,10-02-2020 05:00:00,19-02-2020 03:00:00,19-02-2020 03:49:00,de Standard en Standard nl Standaard biedranges
46066,12-02-2020 05:00:00,19-02-2020 07:15:00,12-02-2020 05:00:00,12-02-2020 05:00:00,19-02-2020 07:01:00,19-02-2020 11:52:00,de Standard en Standard nl Standaard biedranges
46152,10-02-2020 05:00:00,17-02-2020 12:00:00,10-02-2020 05:00:00,10-02-2020 05:00:00,17-02-2020 12:05:00,17-02-2020 12:44:00,de Standard en Standard nl Standaard biedranges
46195,17-02-2020 05:00:00,26-02-2020 04:00:00,17-02-2020 05:00:00,26-02-2020 05:09:00,26-02-2020 04:00:00,26-02-2020 05:24:00,de Standard en Standard nl Standaard biedranges
40620,20-12-2019 05:00:00,02-01-2020 07:00:00,20-12-2019 05:00:00,20-12-2019 05:00:00,02-01-2020 07:04:00,02-01-2020 08:25:00,de Standard en Standard nl Standaard biedranges
41567,29-12-2019 09:00:00,04-01-2020 07:00:00,29-12-2019 09:00:00,29-12-2019 09:00:00,04-01-2020 07:00:00,05-01-2020 02:23:00,de Standard en Standard nl Standaard biedranges
43947,11-02-2020 01:00:00,11-02-2020 01:00:00,11-02-2020 01:00:00,11-02-2020 01:00:00,11-02-2020 01:00:00,11-02-2020 01:00:00,nl Per 1000 ophogen
43948,24-01-2020 05:00:00,06-02-2020 07:30:00,24-01-2020 05:00:00,24-01-2020 05:00:00,06-02-2020 07:30:00,06-02-2020 10:07:00,de Standard en Standard nl Standaard biedranges
44032,25-12-2019 05:00:00,01-01-2020 04:04:00,25-12-2019 05:00:00,25-12-2019 05:00:00,01-01-2020 04:00:00,01-01-2020 06:59:00,de Standard en Standard nl Standaard biedranges
44314,28-12-2019 05:00:00,02-01-2020 08:30:00,28-12-2019 05:00:00,28-12-2019 05:00:00,02-01-2020 08:30:00,02-01-2020 09:53:00,nl Top Lots
44352,18-02-2020 02:30:00,18-02-2020 02:45:00,18-02-2020 02:30:00,18-02-2020 02:30:00,18-02-2020 02:45:00,18-02-2020 02:45:00,nl Per 1000 ophogen
44514,20-12-2019 05:00:00,13-01-2020 06:00:00,20-12-2019 05:00:00,13-01-2020 06:33:00,13-01-2020 06:00:00,13-01-2020 07:34:00,de Standard en Standard nl Standaard biedranges
44535,28-01-2020 10:00:00,28-01-2020 10:15:00,28-01-2020 10:00:00,28-01-2020 10:00:00,28-01-2020 10:15:00,28-01-2020 10:15:00,nl Vastgoed Standaard biedranges
44561,01-01-2020 05:00:00,09-01-2020 04:15:00,01-01-2020 05:00:00,01-01-2020 05:00:00,09-01-2020 04:15:00,09-01-2020 06:06:00,de Standard en Standard nl Standaard biedranges
44563,15-01-2020 05:00:00,23-01-2020 04:00:00,15-01-2020 05:00:00,15-01-2020 05:00:00,23-01-2020 04:00:00,23-01-2020 10:45:00,de Standard en Standard nl Standaard biedranges
44656,07-01-2020 05:00:00,21-01-2020 07:00:00,07-01-2020 05:00:00,07-01-2020 05:00:00,21-01-2020 07:10:00,21-01-2020 07:10:00,nl Schipveiling
44735,26-01-2020 09:00:00,01-02-2020 07:15:00,26-01-2020 09:00:00,26-01-2020 09:00:00,01-02-2020 07:02:00,02-02-2020 02:01:00,de Standard en Standard nl Standaard biedranges
44767,28-12-2019 12:00:00,04-01-2020 07:32:00,28-12-2019 12:00:00,28-12-2019 12:00:00,04-01-2020 07:32:00,04-01-2020 07:32:00,de Standard en Standard nl Standaard biedranges
44774,04-01-2020 12:00:00,11-01-2020 08:00:00,04-01-2020 12:00:00,04-01-2020 12:00:00,11-01-2020 08:00:00,11-01-2020 09:57:00,de Standard en Standard nl Standaard biedranges
44796,02-02-2020 09:00:00,08-02-2020 07:00:00,02-02-2020 09:00:00,02-02-2020 09:00:00,08-02-2020 07:00:00,09-02-2020 01:59:00,de Standard en Standard nl Standaard biedranges
44901,22-12-2019 05:00:00,06-01-2020 07:00:00,22-12-2019 05:00:00,22-12-2019 05:00:00,06-01-2020 07:01:00,06-01-2020 09:02:00,de Standard en Standard nl Standaard biedranges
44916,03-01-2020 09:00:00,12-01-2020 07:00:00,03-01-2020 09:00:00,03-01-2020 09:00:00,12-01-2020 07:00:00,13-01-2020 01:31:00,de Standard en Standard nl Standaard biedranges
45024,13-01-2020 12:00:00,19-01-2020 07:02:00,13-01-2020 12:00:00,13-01-2020 12:00:00,19-01-2020 07:15:00,19-01-2020 10:15:00,de Standard en Standard nl Standaard biedranges
45053,15-02-2020 09:00:00,20-02-2020 07:45:00,15-02-2020 09:00:00,15-02-2020 09:00:00,20-02-2020 07:45:00,20-02-2020 09:06:00,de Standard en Standard nl Standaard biedranges
45060,23-12-2019 05:00:00,07-01-2020 01:00:00,23-12-2019 05:00:00,07-01-2020 03:07:00,07-01-2020 01:00:00,07-01-2020 03:54:00,de Standard en Standard nl Standaard biedranges
45082,29-01-2020 09:30:00,29-01-2020 09:45:00,29-01-2020 09:30:00,29-01-2020 09:30:00,29-01-2020 09:45:00,29-01-2020 09:45:00,nl Per 1000 ophogen
45110,03-01-2020 05:00:00,07-01-2020 08:00:00,03-01-2020 05:00:00,03-01-2020 05:00:00,07-01-2020 08:01:00,07-01-2020 10:23:00,nl Top Lots
45125,22-01-2020 05:00:00,26-01-2020 06:45:00,22-01-2020 05:00:00,22-01-2020 05:00:00,26-01-2020 06:46:00,26-01-2020 08:42:00,nl Top Lots
45141,24-01-2020 05:00:00,03-02-2020 07:15:00,24-01-2020 05:00:00,24-01-2020 05:00:00,03-02-2020 07:16:00,03-02-2020 10:01:00,de Standard en Standard nl Standaard biedranges
45157,06-01-2020 12:00:00,13-01-2020 11:00:00,06-01-2020 12:00:00,06-01-2020 12:00:00,13-01-2020 11:00:00,13-01-2020 01:18:00,de Standard en Standard nl Standaard biedranges
45161,09-01-2020 12:00:00,16-01-2020 01:00:00,09-01-2020 12:00:00,09-01-2020 12:00:00,16-01-2020 01:00:00,16-01-2020 01:51:00,de Standard en Standard nl Standaard biedranges
45169,17-01-2020 12:00:00,24-01-2020 01:00:00,17-01-2020 12:00:00,17-01-2020 12:00:00,24-01-2020 01:00:00,24-01-2020 03:16:00,de Standard en Standard nl Standaard biedranges
45202,30-12-2019 05:00:00,08-01-2020 04:00:00,30-12-2019 05:00:00,30-12-2019 05:00:00,08-01-2020 04:00:00,08-01-2020 04:52:00,de Standard en Standard nl Standaard biedranges
45203,10-01-2020 05:01:00,20-01-2020 06:15:00,10-01-2020 05:01:00,10-01-2020 05:01:00,20-01-2020 04:19:00,20-01-2020 07:48:00,de Standard en Standard nl Standaard biedranges
45215,30-12-2019 12:00:00,07-01-2020 11:00:00,30-12-2019 12:00:00,30-12-2019 12:00:00,07-01-2020 11:05:00,07-01-2020 01:25:00,de Standard en Standard nl Standaard biedranges
45224,22-02-2020 05:00:00,28-02-2020 07:00:00,22-02-2020 05:00:00,22-02-2020 05:00:00,28-02-2020 07:00:00,28-02-2020 10:23:00,de Standard en Standard nl Standaard biedranges
